author_id,author_name
0,
1,Грегори Бенфорд
100,"Брайан Герберт, Кевин Андерсон "
1000145,Сергей Печуров
1000189,Памела Дуглас
1000282,Маша Пушкина
1000300,Владимир Козлов
1000319,Гила Манольсон
1000330,Ольга Лебедь
1000357,Вольфганг Рёслер
1000366,Ален Вирконделе
1000368,Ксения Каспари
1000370,Крэйг Браун
1000374,Али Фелл
1000393,Эндрю Хьюгилл
1000406,Дуриан Сукегава
1000430,Томас Эльзессер
1000438,Бен Уотсон
1000442,Наталья Обнорская
1000444,Александр Банкин
1000448,Александра Шевелёва
1000518,Мак Барнет
1000546,Эйвинд Равна
1000596,Катерина Ліпс
1000615,Виталий Хальпуков
1000619,Ирина Иванникова
1000621,Виктор Дулап
1000622,Чжао Юн
1000635,Кизилов Валерий
1000639,Джереми Миллер
1000640,Иби Зобой
1000641,Helen Callaghan
1000650,Изабель Глорье-Дезуш
1000651,Триша Ливер
1000717,Алекс Анжело
1000719,Дана Данберг
1000724,Тимур Айтбаев
1000758,Денис Пылев
1000785,Эмили Остер
1000827,Надин Брандес
1000834,Оуэн Демпси
1000873,Полина Колесникова
1000885,Хелен Кляйн Росс
1000900,Nayeri Dina
1000921,Duncan Falconer
1000941,Владимир Левин
1001080,Радмило Анджелкович
1001099,Кшиштоф Рогозинский
1001209,Николь Лоро
1001255,Татьяна Дашкова
1001298,Людмила Филатова
1001331,Светлана Руссова
1001398,Б.А. Лебедев
1001434,Аспен Матис
1001456,Ле-Цзы
1001492,Брайан Крэнстон
1001494,Линкольн Пейн
1001544,Марианна Грин
1001550,Дэвид Розен
1001720,Хазель Нут
1001743,Ирина Михнова
1001764,Сергей Юров
1001808,Дмитрий Стешин
1001910,Наталья Гульчевская
1001916,Рауль Канизарес
1001956,Майкл Джабара Карлей
1001974,Итидзё 
1002,Валентина Скултэ
1002058,Франсуа Ожьерас
1002084,Игорь Кольцов
1002170,Владислав Вавилов
1002177,Игорь Колесников
1002300,Джон Берримен
1002393,Марта Поттерс
1002415,Сэм Мэрфи
1002441,Илья Свирин
1002536,Асланбек Зангиев
1002559,Хэлли Рубенхолд
1002670,Юлия Доманова
1002735,Руслан Акст
1002754,Андрей Викторович Калиниченко
1002801,Алекс Седьмовский
1002812,Катерина Попова
1002842,Александр Адашев
1002950,Джоанна Кэннон
1002977,Цуёси Такаки
1002988,Марк Бони
1003090,Эми Хармон
1003092,Хломов Даниил Нестерович
1003096,Наталия Преображенская
1003155,Константин Тарасов
1003163,Ирина Шталь
1003167,Ярослав Гжендович
1003183,Широки Илс
1003226,Jay 
1003254,Комитет республики Марий Эл по делам архивов
1003405,Юлия Фирсова
1003475,Василиск Гнедов
1003525,Даймонд Джон
1003530,Эрика Легранж
1003535,Дмитрий Пронин
1003543,Юлия Ива
1003586,Вальтер Буркерт
10036,Андрей Сидерский
1003604,Элейн Шоуолтер
1003606,Эйлин Хантер
1003710,Ольга Серябкина
1003838,Владимир Мазаев
1003844,Ментол Блонд
1003866,Владимир Мозговой
1003881,Pat Morin
1003925,Нина Аносова
1003949,Джесс Ротенберг
1003982,Мишель Франсис
1003983,Т. Т. Макдэнжерьюз
1004083,Али Ибн Усман Аль-Джуллаби Аль-Худжвири
1004096,Дж. Карр
1004123,Алексей Парамонов
1004130,Дэйв Зобель
1004226,Ким Фокс
1004312,Алина Углицкая
100433,Ashley Shepherd
1004338,Наталия Хомякова
1004342,Андрей Романов
1004346,Хендрик Грун
1004364,Егор Сирков
1004390,Кейт Лет
10044,Ди Трачи Регула
1004404,Ида Финк
1004439,Али Мухаммад Ас-Салляби
1004448,Филипп Винклер
1004460,Оксана Чекменёва
1004507,Том Толли
1004581,Дэвид Лоуэнталь
1004602,Есио Арамаки
1004612,В. Икскуль
1004653,Чонг Хо Сынг
1004684,Алесь Звонак
1004687,Даниил Туровский
10047,Владимир Столин
1004705,Виола Ларионова
1004716,Жан-Люк Марион
1004744,Айзек Виктор Керлоу
1004753,Германов В.Г.
1004768,Александра Морозова
1004776,Нелли Громова
1004785,Сэмюель Боулз
10049,М. В. Гамезо
1004918,Фернан Кайзергрубер
1004948,Худе Лань
1004953,Роберта Кавалло
1004959,Энтони Майолл
1004965,Джанет Садик-Хан
1004967,Джули Литкотт-Хеймс
1005011,Бобби Пирс
1005021,Катря Гриневичева
1005022,Николай Голышев
1005056,Карима (Екатерина) Сорокумова
1005103,Райан Куинн
1005107,Мелисса П.
1005133,Михаил Сенин
1005195,Анна Давыдова
10052,Николай Козлов
1005226,Кристина Белозерцева
1005276,Нелли С. Пак
1005321,Эрнест Суинтон
1005326,Алла Сокол
1005350,Павел Гушинец
1005376,Ксения Болотина
1005382,Т. В. Стеценко
1005397,Катори Ками
1005406,Дмитрий Завадский
1005446,Ксения Зубарева
1005461,Олег Измайлов
1005468,Тодд Джонсон
10055,Александр Лоуэн
1005507,Василий Мызников
1005512,Люси Китинг
1005515,Катрин Марсал
1005518,Гурам Одішарія
1005545,Эзра Ховкин
10056,Александр Романов
1005622,Лана Волкова
1005654,Катя Гущина
100569,Christian Bauer
10057,Уильям У. Хьюитт
1005706,Джеррольд Гринберг
1005726,Кара Ченс
1005749,Павел Гражданский
1005761,В.Ковалев
1006,Александр Генис
1006010,Владимир Севриновский
1006017,Громовиця Бердник
1006040,Льюис Роскош
1006041,Джек Тигл
1006051,О. Казарян
1006069,Диего Лимончи
1006101,Сара Пинборо
1006108,Найджел Камберленд
1006112,Джефф Смарт
1006158,Евгения Гюнтер
1006206,Люси Энн Сайкс
1006210,Дина Гарсон
1006226,Полина Флёр
1006244,Елена Ядохина
1006247,Курт Стенн
1006252,Мередит Рузью
1006271,Саманта Швеблин
1006316,Майк Бэрон
1006482,Данияр Каримов
1006489,Г.-Б. Шефер
1006511,Елена Рыжкова
1006603,Деян Берич
1006604,Александр Цзи
1006751,Юлия Козлова
1006789,В. Минина
1006922,Мартин Ли
100693,Bill Burke
10070,Всеволод Овчинников
1007023,Светлана Шавлюк
1007026,Светлана Шавлюк
1007027,Александр Форш
1007051,Хьюстон Смит
10071,Карл фон Клаузевиц
1007107,Константин Гришин
1007201,Владислав Брокт
1007209,Крис Восс
1007218,Яир Лапид
1007228,Алис Пантермюллер
1007234,Франтишек Пахнер
1007239,Александр Атанесян
1007245,Володимир Мартинов
1007310,Елена Сидельникова
1007378,Александр Панфилов
1007382,Самарий Савшинский
1007404,В. Латышев
1007454,
1007478,Сергей Чобан
1007488,Валентина Володарская
1007525,Cristin Harber
1007547,Клементин Доннен
1007585,Тару Ссонберг
1007587,Джулия Шоу
1007699,Иб Спанг Ольсен
1007709,Джейд 
1007720,Риёко Икэда
1007856,Владимир Кара-Мурза
1007887,Андрей Хржановский
1007888,Янина Жеймо
10079,Татьяна Ильина
1007994,Наталья Ксенжук
1008,Филипп Арьес
1008117,Тома Д’Ансембур
1008122,Энтони Шеффер
1008130,Мария Колосова
1008137,Матье Габелла
1008174,Эбби Ханлон
1008291,Глеб Липаткин
1008309,Анастасия Миллюр
1008313,Ё Мацумото
1008326,Никита Бобров
1008444,Марта Брокенброу
1008448,Константин Озеров
1008458,Виталий Кириллов
1008496,Алёна Полуян
1008499,Ольга Михайлова
1008501,Игорь Гулин
1008502,Виталий Макушкин
1008525,Михаил Остроухов
1008527,Владимир Титов
1008558,Стивен Эриан
1008567,Патрик Кинг
1008568,Гай Валерий Флакк
1008580,Элана К. Арнольд
1008621,Алексей Харузин
1008649,Джен Ли
1008658,Китти Френч
1008659,Валерия Косякова
1008678,Сара Александер
1008685,Лавиния Лонд
1008719,Александр Корешков
1008733,Игорь Соколов
1008753,Хамит Икрамович Измайлов
1008758,Лариса Каневская
1008769,Ника Вереск
1008784,Каллен Боб
1008788,Зои Кларк
1008790,Анна Левадная
10088,Владимир Козлов
1008804,Дарья Ваулина
1008844,Зельфира Трегулова
1008953,Анна Черкасова
1008968,Анна Толкачева
1009,Борис Пастернак
1009021,А. Веселова
1009109,Надежда Булочко
1009133,Юта Мирум
1009218,Валентина Пентюхова
