genre_id,genre_name
1,Бизнес-книги
10,UNKNOWN_GENRE_10
100,Финансовые-инструменты
101,Ценные-бумаги-инвестиции
102,Экономика
103,Внешнеэкономическая-деятельность
104,История-экономики
105,История-экономических-учений
106,UNKNOWN_GENRE_106
107,Макроэкономика
108,Микроэкономика
109,Мировая-экономика
1095,Периодические-издания
1096,Альманахи
1098,Журналы
110,Общая-экономическая-теория
1102,Детские-журналы
1103,Женские-журналы
1104,Журналы-о-доме-и-семье
1105,Журналы-о-досуге-и-развлечениях
1106,Журнальные-издания
1108,Литературные-журналы
1109,Медицинские-журналы
111,Отраслевая-и-межотраслевая-экономика
1119,UNKNOWN_GENRE_1119
112,Управление-экономикой
1120,Повести-рассказы
1121,Комиксы-манга-графические-романы
1123,Очерки
1124,Повести
1125,Рассказы
1126,Фанфик
1127,Эссе
1128,Поэзия-и-драматургия
1129,Поэзия
1130,Зарубежная-драматургия
1132,Драматургия
1133,Приключения
1136,Исторические-приключения
1137,Книги-о-приключениях
1138,Книги-о-путешествиях
1139,Морские-приключения
1140,Публицистическая-литература
1141,Афоризмы-и-цитаты
1142,Биографии-и-мемуары
1143,Военное-дело-спецслужбы
1144,Документальная-литература
1146,Интервью
1147,Публицистика
1148,Рецензии
1149,Статьи
1150,Религия
1151,Буддизм
1152,Вероучения-в-буддизме
1153,Дзэн-буддизм
1154,Тибетский-буддизм
1155,Духовная-литература
1157,Ислам
1159,Коран
116,Экономическая-статистика
1163,Иудаизм
1164,Католицизм
1165,Православие
1166,Акафисты
1167,Богословие
1168,Воскресная-школа
1169,Житийная-литература
117,Экономический-анализ
1170,История-церкви
1171,Книги-для-священнослужителей
1172,Паломничество
1173,Православие-для-детей
1175,Православные-календари
1176,Православные-каноны
1177,Православные-молитвы
1178,Православные-традиции
1179,Священное-писание
118,Экономическое-развитие
1180,Протестантизм
1181,Религии-верования-культы
1182,Религиоведение-история-религий
1183,Религиозные-тексты
1184,Христианское-искусство
1185,Христианство
1186,Словари-справочники
1188,Путеводители
1189,Руководства
119,Боевики-остросюжетная-литература
1190,Самоучители
1191,Словари
1192,Другие-словари
1194,Орфографические-словари
1195,Орфоэпические-словари
1196,Разговорники
1197,Терминологические-словари
1198,Толковые-словари
12,Коучинг
120,Боевая-фантастика
1200,Энциклопедические-словари
1201,Этимологические-словари
1202,Языковые-словари
1203,Справочная-литература
1204,Справочники
1207,Биографические-справочники
1209,Другие-справочники
121,Боевики
1211,Научные-справочники
1215,Учебные-справочники
1216,Энциклопедии
1217,Современная-проза
1218,Историческая-проза
1219,Книги-о-войне
122,Вестерны
1220,Контркультура
1222,Современная-русская-литература
1223,Ужасы-мистика
1224,Мистика
1225,Ужасы
1226,Фантастика
1228,Героическая-фантастика
1229,Детективная-фантастика
123,Зарубежные-боевики
1231,Историческая-фантастика
1232,Киберпанк
1233,Космическая-фантастика
1235,Научная-фантастика
1236,Попаданцы
1237,Социальная-фантастика
1238,Стимпанк
1239,Юмористическая-фантастика
124,Криминальные-боевики
1240,Фэнтези
1241,Боевое-фэнтези
1242,Героическое-фэнтези
1243,Городское-фэнтези
1244,Детективное-фэнтези
1246,Историческое-фэнтези
1247,Книги-про-вампиров
1248,Книги-про-волшебников
1249,Романтическое-фэнтези
125,Триллеры
