user_id,gender,age
10000030,1,61
10000060,2,60
10000090,2,19
10000120,1,24
10000240,2,18
10000300,2,26
10000360,2,43
10000390,2,14
10000780,2,28
10000900,2,40
10000990,2,30
10001020,2,20
10001140,2,33
10001230,2,20
10001260,2,20
10001290,1,27
10001560,2,25
10001590,2,24
10001710,2,33
10001830,1,21
10001860,2,65
10001950,1,70
1000200,,30
10002010,1,56
10002220,2,23
10002250,2,25
1000230,2,30
10002310,2,20
10002370,1,30
10002430,2,20
10002460,1,21
10002490,2,35
10002550,1,41
10002580,2,43
10002610,2,58
10002670,2,38
10002700,1,69
10002760,1,25
10002790,2,38
10002820,2,53
10002970,2,34
10003000,1,40
10003030,2,30
10003180,2,25
1000320,2,35
10003210,1,22
10003240,2,48
10003330,2,34
10003360,2,25
10003420,2,21
1000350,2,31
10003540,2,29
10003570,1,41
1000360,2,35
10003600,2,17
10003630,2,24
10003690,1,57
10003900,2,29
10003960,1,39
10003990,2,18
10004050,2,29
10004110,1,68
10004290,1,27
10004320,2,24
10004440,1,50
1000450,,28
10004500,2,35
10004710,2,43
10004800,2,21
10004890,2,22
10004950,2,55
10004980,2,65
10005010,2,17
10005160,2,16
10005640,2,121
10005670,1,27
1000570,1,29
10005790,1,23
10005820,2,32
10005850,1,50
10005880,2,41
10005910,1,29
10005970,2,54
10006000,1,16
10006030,2,60
10006180,2,22
1000620,,122
10006270,2,35
10006330,2,22
10006360,2,42
10006450,2,44
10006480,2,30
10006600,1,30
10006660,2,45
10006690,2,21
10006840,2,27
10007080,1,27
10007200,2,20
10007410,2,53
10007500,2,27
10007530,2,44
10007560,2,56
1000760,2,32
10007650,2,44
10008010,2,61
10008070,2,105
10008130,2,21
10008160,2,23
1000830,2,32
10008340,2,39
10008430,2,22
10008460,2,41
10008490,2,31
10008670,2,18
1000870,1,9
10008730,2,21
10008790,2,73
100090,1,35
10009030,1,26
10009180,2,18
10009270,1,35
10009330,2,36
10009360,2,42
1000950,,34
10009690,2,36
10009750,2,64
10009810,1,26
10009840,2,47
10009870,2,38
10009900,1,21
10009930,2,25
10009960,2,18
10009990,2,51
10010080,2,33
10010140,2,35
10010230,2,76
10010290,2,25
10010770,1,36
1001080,,51
10010860,1,43
10010920,2,68
10010980,2,19
10011010,1,23
10011040,2,25
10011160,1,55
10011190,2,20
10011250,2,25
10011370,1,29
10011520,2,69
10011550,1,43
10011610,2,66
10011670,2,28
10011700,2,37
10011730,2,29
10011760,1,84
10011850,2,22
10012030,1,51
10012120,2,19
10012210,2,27
10012390,1,28
10012450,2,24
10012510,2,47
10012540,2,20
10012570,2,39
10012630,2,27
10012690,1,58
10012780,2,60
10012960,1,78
10013080,2,72
10013170,2,20
10013200,2,19
10013260,2,20
10013290,1,71
10013320,2,67
10013410,2,21
10013470,1,23
